name,oid
contact,.1.3.6.1.2.1.1.4.0
sysName,.1.3.6.1.2.1.1.5.0
uptime,.1.3.6.1.2.1.1.3.0
ifName,.1.3.6.1.2.1.31.1.1.1.1
ifDescr,.1.3.6.1.2.1.2.2.1.2
ifHCInOctets,.1.3.6.1.2.1.31.1.1.1.6
ifHCOutOctets,.1.3.6.1.2.1.31.1.1.1.10
ifInErrors,.1.3.6.1.2.1.2.2.1.14
ifInDiscards,.1.3.6.1.2.1.2.2.1.13
ifOperStatus,.1.3.6.1.2.1.2.2.1.8
ifAdminStatus,.1.3.6.1.2.1.2.2.1.7
cpuLoad5min,.1.3.6.1.4.1.9.9.109.1.1.1.1.8.1
ciscoMemoryPoolUsed,.1.3.6.1.4.1.9.9.48.1.1.1.5.1
ciscoMemoryPoolFree,.1.3.6.1.4.1.9.9.48.1.1.1.6.1
